date,hometeam,awayteam,homegoals,awaygoals,ghost
2019-12-01,Wolfsburg,Werder Bremen,2,3,0
2019-12-02,Mainz,Ein Frankfurt,2,1,0
2019-12-06,Ein Frankfurt,Hertha,2,2,0
2019-12-07,Leverkusen,Schalke 04,2,1,0
2019-12-07,RB Leipzig,Hoffenheim,3,1,0
2019-12-07,M'gladbach,Bayern Munich,2,1,0
2019-12-07,Freiburg,Wolfsburg,1,0,0
2019-12-07,Augsburg,Mainz,2,1,0
2019-12-07,Dortmund,Fortuna Dusseldorf,5,0,0
2019-12-08,Union Berlin,FC Koln,2,0,0
2019-12-08,Werder Bremen,Paderborn,0,1,0
2019-12-13,Hoffenheim,Augsburg,2,4,0
2019-12-14,Fortuna Dusseldorf,RB Leipzig,0,3,0
2019-12-14,Mainz,Dortmund,0,4,0
2019-12-14,Paderborn,Union Berlin,1,1,0
2019-12-14,FC Koln,Leverkusen,2,0,0
2019-12-14,Bayern Munich,Werder Bremen,6,1,0
2019-12-14,Hertha,Freiburg,1,0,0
2019-12-15,Wolfsburg,M'gladbach,2,1,0
2019-12-15,Schalke 04,Ein Frankfurt,1,0,0
2019-12-17,Werder Bremen,Mainz,0,5,0
2019-12-17,Augsburg,Fortuna Dusseldorf,3,0,0
2019-12-17,Dortmund,RB Leipzig,3,3,0
2019-12-17,Union Berlin,Hoffenheim,0,2,0
2019-12-18,Wolfsburg,Schalke 04,1,1,0
2019-12-18,M'gladbach,Paderborn,2,0,0
2019-12-18,Ein Frankfurt,FC Koln,2,4,0
2019-12-18,Leverkusen,Hertha,0,1,0
2019-12-18,Freiburg,Bayern Munich,1,3,0
2019-12-20,Hoffenheim,Dortmund,2,1,0
2019-12-21,Schalke 04,Freiburg,2,2,0
2019-12-21,Bayern Munich,Wolfsburg,2,0,0
2019-12-21,FC Koln,Werder Bremen,1,0,0
2019-12-21,Mainz,Leverkusen,0,1,0
2019-12-21,RB Leipzig,Augsburg,3,1,0
2019-12-21,Hertha,M'gladbach,0,0,0
2019-12-22,Paderborn,Ein Frankfurt,2,1,0
2019-12-22,Fortuna Dusseldorf,Union Berlin,2,1,0
2020-01-17,Schalke 04,M'gladbach,2,0,0
2020-01-18,Augsburg,Dortmund,3,5,0
2020-01-18,FC Koln,Wolfsburg,3,1,0
2020-01-18,Fortuna Dusseldorf,Werder Bremen,0,1,0
2020-01-18,Hoffenheim,Ein Frankfurt,1,2,0
2020-01-18,Mainz,Freiburg,1,2,0
2020-01-18,RB Leipzig,Union Berlin,3,1,0
2020-01-19,Paderborn,Leverkusen,1,4,0
2020-01-19,Hertha,Bayern Munich,0,4,0
